sla,rating,complaint_ref_no,incident_date,mode,channel_type,from_fois,complaint_type,sub_type,zn_cd,div_cd,dept_cd,\nSTATUS,\ncreated_on,modified_on,diff,complaint,remarks,train_station,own_zn_cd,own_div_cd,commodity_name,forwarded,train_class,berth_no,feedback_remarks,next_station,physical_coach_no,train_name
SLA 1,,2.02404E+12,,T,H,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,SC,BZA,CML,Closed,01-04-2024 00:03,01-04-2024 03:51,03:47,Customer complained that There is an unauthorized person in the SLR Coach  ,"Sir, as per our telephonic conversation, you informed that there were some unauthorized passengers in your coach. On duty TTE attended and resolved the issue by removing the unauthorized passengers. We appreciate your feedback. Thank you.",22871,EO,KUR,,9,,,,,,BBS-TPTY S/F [SUPERFAST]
No,Excellent,2.02404E+12,31-03-2024 23:13,T,A,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,SR,TPJ,CML,Closed,01-04-2024 00:04,01-04-2024 00:39,00:35,Unreserved people in reserved coach,"Sir, Your complaint regarding unreserved overcrowd in SE1 coach is informed to coach TTE and on duty RPF to attend and clear at Cuddalore port jn. This is for kind information please.",16176,SR,MAS,,1,SL,65,Thank you for the quick response. Immediate action was taken ,SY,146309,KIK-MS EXP [MAIL EXPRESS]
No,,2.02404E+12,,T,H,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,NR,MB,RPF,Closed,01-04-2024 00:04,01-04-2024 00:37,00:32,Customer complained that There is an passengers are not geving to the handicap passengers  kindly check it      Train No :- 15014 Coach No :- handicap Customer mobile no:- 8445265639 ,"Respected madam,Your complaint will be attend at moradabad.RPF and ticket checking staff have been directed to resolve the complaint. Sorry for the inconvenience caused to you.After resolution of the complaint, please give your feedback.",15014,NE,IZN,,1,,,,,,RANIKHET EXP  [MAIL EXPRESS]
No,,2.02404E+12,,T,H,0,Medical Assistance,Medical Assistance,NE,BSB,CML,Closed,01-04-2024 00:06,01-04-2024 00:39,00:33,The customer requires medical assistance  as they are facing health issues  ,श्रीमान आपको चिकित्सकीय सहायता हेतु सभी संबंधितों को नोट करा दिया गया है। आपको बलिया मे चिकित्सकीय सहायता उपलब्ध कराई जाएगी।  रेल प्रशासन यथा संभव बेहतर सेवाये प्रदान करने के लिए प्रयासरत है I सहयोग देने एवं धैर्य रखने के लिए धन्यवाद   ,20506,NF,TSK,,1,,,,,,RAJDHANI EXPRESS [RAJDHANI]
No,,2.02404E+12,31-03-2024 23:47,T,A,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,WC,KOTA,RPF,Closed,01-04-2024 00:17,01-04-2024 01:09,00:52,Too much crowd in general ward most of the people are drunked start abusing kindly check all the member tickets kindly hide my identity for my safety purpose,"श्रीमान, शिकायतकर्ता कृष्ण से सम्पर्क करने पर बताया कि गाडी सं. 12471 के इंजन से दूसरे जनरल कोच में कोटा से नई दिल्ली तक की यात्रा के दौरान कुछ यात्री कोच में नशे में हैं व कुछ यात्री धूम्रपान कर रहे हैं तथा जनरल कोच में अत्यधिक भीड है। गाडी को गंगापुर सिटी स्टेशन पर आरपीएफ व टीटीई द्वारा अटैण्ड करने हेतु आरपीएफ आरक्षक विष्णु व कामर्शिल कंट्रोल कोटा को नोट करा दिया गया है। रेलवे यात्रियों की सुरक्षा संरक्षा सुनिश्चित करने हेतु प्रतिबद्व है। ",12471,NR,FZR,,5,,,,,,SWARAJ EXPRESS  [SUPERFAST]
No,,2.02404E+12,,T,H,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,SW,MYS,CML,Closed,01-04-2024 00:17,01-04-2024 01:03,00:46,In one seat 3 passenger tickets allowted need TT to check the Tickets  S10,"Sir, The matter informed to working TTE to attend & resolve the issue. Thanks for contacting Rail Madad with regards.",16526,SW,SBC,,3,,,,,,SBC-CAPE EXPRESS [MAIL EXPRESS]
No,,2.02404E+12,01-04-2024 00:15,T,A,0,Coach - Maintenance,Window/Seat Broken,NR,UMB,CNW,Closed,01-04-2024 00:17,01-04-2024 00:40,00:22,Seat is broken,"SORRY,SIR MESSAGE GIVEN TO SSE  CDG ATTEND DURING PRIMARY EXAMNATION",12217,NR,UMB,,,2A,43,,NZM,173055,KCVL SUF [SUPERFAST]
No,,2.02404E+12,,S,H,0,Miscellaneous ,Miscellaneous,NR,DLI,CML,Closed,01-04-2024 00:17,01-04-2024 01:11,00:53,cx said the water vinding is not workinig for the derkinig water ,"your complaint has been forwarded to the Commercial inspector New Delhi Railway Station to get your complaint updates and further information. Thank you for sharing your experience, co-operation and using railway services, happy for positive feedback as response received by this office.",NDLS,,,,,,,,,,NA
No,,2.02404E+12,,S,H,0,Miscellaneous ,Miscellaneous,NR,DLI,CML,Closed,01-04-2024 00:17,01-04-2024 01:11,00:53,cx said the water vinding is not workinig for the derkinig water ,"your complaint has been forwarded to the Commercial inspector New Delhi Railway Station to get your complaint updates and further information. Thank you for sharing your experience, co-operation and using railway services, happy for positive feedback as response received by this office.",NDLS,,,,,,,,,,NA
No,,2.02404E+12,01-04-2024 00:07,S,W,2,Passenger Amenities,Enquiry Office/Inadequate Counter,ER,HWH,CML,Closed,01-04-2024 00:17,01-04-2024 00:37,00:19,Returning room booking problem issue.,YOUR COMPLIANT IS RECEIVED WITH THANKS. WE REGRET THAT YOU HAD A CAUSE FOR COMPLAINT.WE THANK YOU FOR HIGHLIGHTING THE MATTER.,HWH,,,,,,,,,,NA
No,,2.02404E+12,01-04-2024 00:00,S,W,0,Staff Behaviour,Staff Behaviour,WR,BCT,CML,Closed,01-04-2024 00:17,01-04-2024 01:34,01:17,Ticker amount 155   Mai ne 500 ki note di return me mujhe 345 milna chahiye   But unhone mujhe only 290 rs diye   155 ki ticket 210 ki diye 55 rs per ticket extra charge hai     Mai ne unhe Kah bhi k sir aap 5 rs extra le lijiye itna Kiyu cut karna hai to he told me change leke aao warna ticket or paise dono nahi milenge return . Ye baat to galat hai unke pass change hote hue bhi unhone paise Zada liye.  Ye Borivali me 1 time nahi hua hai usse pehle bhi 2 bar hua hai. Mai online ticket book karti hu but uske liye 16km dur jana hota hai meri Train h abhi 12:38 ki Mai itna durr jaake ticket book karti wapis aati cosh position dhondhti to time ho jata isiliye Mai ne ticket counter se lene gai but unhone miss behave Kiya or paise bhi Zada liye .,"Hello madam, Thank you for bringing to our attention your concern regarding the overcharging by the counter operator. We take such matters seriously and have initiated an investigation into the issue. Rest assured, the concerned official has been promptly notified to look into the matter thoroughly. We will ensure that appropriate action is taken against the counter-operator after confirming the facts. Please accept our sincere apologies for any inconvenience this may have caused you. We strive to provide excellent service and regret that we fell short of your expectations. Thank you for using RailMadad.",BVI,,,,,,,,,,NA
No,,2.02404E+12,,T,H,0,Medical Assistance,Medical Assistance,CR,BSL,CML,Closed,01-04-2024 00:17,01-04-2024 01:16,00:58,The customer requires medical assistance  as they are facing health issues pnr- 4717298679 Train No :- 11402 Coach No :- s4 23  Customer mobile no:- 9320439006,"Your request for medical assistance is noted and the Doctor will examine you at Nasik Road station, please pay the doctor's fee accordingly.",11402,CR,CSTM,,1,,,,,,ADB-CSMT MUMBAI EXP [MAIL EXPRESS]
SLA 1,,2.02404E+12,,T,H,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,NR,DLI,CML,Closed,01-04-2024 00:17,01-04-2024 05:31,05:13,passanger ke seat per koi or baith gaya hai hat nhi raha hai ,"Sir, your problem has been conveyed to RPF and On Board Conductor, your problem is being resolved. Railway administration is trying to provide the best possible services to your problem. Thank you for your cooperation and patience.",14623,NR,FZR,,6,,,,,,PATALKOT EXP [MAIL EXPRESS]
No,,2.02404E+12,01-04-2024 00:12,T,W,0,Electrical Equipment,Air Conditioner ,CR,CSTM,ELE,Closed,01-04-2024 00:17,01-04-2024 00:42,00:24,AC temperature is too low.  It's getting colder ,As per accm coach temprature is normal passenger want to off the blower accm informed it is not possible to close the blower because if blower off then so many passenger feel suffocating.,22120,CR,CSTM,,,,,,,,MAO-CSTM TEJAS [TEJAS]
SLA 1,,2.02404E+12,,T,H,0,Corruption / Bribery,Corruption / Bribery,NR,LKO,CML,Closed,01-04-2024 00:17,01-04-2024 01:40,01:22,"PASSENGER SAID TTE IS MISBEHAVE & CORRUPTION , PLEASE CHECK ","The matter is being investigated, if found guilty suitable action will be taken against the concerned.",12312,ER,HWH,,3,,,,,,KLK HWH NETAJI EXP  [SUPERFAST]
SLA 2,,2.02404E+12,,T,H,0,Medical Assistance,Medical Assistance,NC,JHS,CML,Closed,01-04-2024 00:17,01-04-2024 04:11,03:54,About medical assistance in  train complaint,MEDICAL CALL ATTENDED BY- DR DARSHAN AT VGLJ STN.,12108,CR,CSTM,,2,,,,,,STP-LTT EXPRESS [SUPERFAST]
SLA 2,,2.02404E+12,,T,H,0,Medical Assistance,Medical Assistance,NC,JHS,CML,Closed,01-04-2024 00:17,01-04-2024 04:12,03:54,About medical assistance in  train complaint,MEDICAL CALL ATTENDED BY- DR DARSHAN AT VGLJ STN.,12108,CR,CSTM,,2,,,,,,STP-LTT EXPRESS [SUPERFAST]
No,,2.02404E+12,,T,H,0,Medical Assistance,Medical Assistance,CR,BSL,CML,Closed,01-04-2024 00:17,01-04-2024 01:17,00:59,The customer requires medical assistance  as they are facing health issues  Train No :- 11402 Coach No :- s4 23  Customer mobile no:- 9320439006,"Your request for medical assistance is noted and the Doctor will examine you at Nasik Road station, please pay the doctor's fee accordingly.",11402,CR,CSTM,,1,,,,,,ADB-CSMT MUMBAI EXP [MAIL EXPRESS]
No,,2.02404E+12,,T,H,0,Security,Others ,NR,MB,RPF,Closed,01-04-2024 00:17,01-04-2024 00:42,00:24,PASSENGER COMPLAINTS THAT IN GENERAL COACH PASSENGER SLEEPING ,शिकायतकर्ता आकाश ने बताया कि मैं आगे की तरफ जनरल कोच में परिवार के साथ यात्रा कर रहा हूं।कोच में महिलाओं को बैठने नहीं दिया जा रहा है जबकि सीट पर काफी जगह है।शिकायत के समाधान के लिए आरपीएफ पोस्ट मुरादाबाद को सूचित कर दिया गया है।जिनके द्वारा गाड़ी को अटेंड कर आपकी मदद की जाएगी। thanks for using Rail madad.,13009,ER,HWH,,1,,,,,,HWH YNRK DOON EXP [MAIL EXPRESS]
No,,2.02404E+12,,T,H,0,Water Availability,Packaged Drinking Water / Rail Neer,SC,BZA,CML,Closed,01-04-2024 00:17,01-04-2024 01:09,00:51,Customer has registered a complaint stating that packaged drinking mineral water bottle is not available for his family ladies   Train No :-22708 Coach No :-C3L  57 58 Customer mobile no:-7032938289,"Sir, as there is no pantry car available in this train, we request you to please purchase water bottle on the Platform at next station which is ONGOLE. Thank you.",22708,SC,GTL,,1,,,,,,TPTY-VSKP TRI-WKY DB DKR [SUPERFAST]
SLA 1,,2.02404E+12,,T,H,0,Medical Assistance,Medical Assistance,CR,BSL,CML,Closed,01-04-2024 00:17,01-04-2024 01:18,01:00,The customer requires medical assistance  as they are facing health issues pnr- 4717298679 Train No :- 11402 Coach No :- s4 23  Customer mobile no:- 9320439006,"Your request for medical assistance is noted and the Doctor will examine you at Nasik Road station, please pay the doctor's fee accordingly.",11402,CR,CSTM,,1,,,,,,ADB-CSMT MUMBAI EXP [MAIL EXPRESS]
SLA 1,,2.02404E+12,01-04-2024 00:02,T,W,0,Punctuality,Late Running,EC,DHN,CHG,Closed,01-04-2024 00:17,01-04-2024 02:29,02:11,"I am not happy with the Answer given For refrence ticket 2024033108999,  Can you please tell me ,what kind of safety activity going on ,is it only for train 03633 and impacting delay for last six month,and also let us know  when it will be completed.",Inconvenience caused to you is deeply regretted sir. Train was delayed in DHANBAD DIVISION by 72 minutes and delayed abnormally in DDU division. Inconvenience caused to you is deeply regretted sir. Safety related works and other development works will be completed in this FY.,3363,EC,DHN,,,,,,,,BRWD-DOS PASSENGER [PASSENGER]
No,Unsatisfactory,2.02404E+12,01-04-2024 00:15,T,W,0,Punctuality,NTES APP,SC,GTL,CHG,Closed,01-04-2024 00:17,01-04-2024 00:45,00:27,I have connection journey from GTL via Rajdhani but train unnecessary detained at GTL By pass home signal  out of course stoppage kindly take this train At GTL station as soon as possible ,"Sir the inconvenience caused is deeply regretted .the said train stopped at GTLB due to occupied line at GTL ,16591 EXP arrived at 00:37 hrs and ready to dispatch.",16591,SW,UBL,,,2A,18,,GTL,231543,UBL-MYS HAMPI EXPRESS [MAIL EXPRESS]
No,,2.02404E+12,01-04-2024 00:10,S,W,0,Reserved Ticketing,E-Ticketing,IRC,IRC,IRC,Closed,01-04-2024 00:17,01-04-2024 00:19,00:01,I paid for the monthly pass from Thane to rabada but pass doesn't generate  ,"Dear customer,   In case amount is debited and ticket not booked then after reconciliation; the same will be processed at Payment Gateway for refund. It may take 5-7 working days to be reflect in your account.  For more information regarding UTS mobile app visit at below link: https:  www.utsonmobile.indianrail.gov.in RDS policy faq_?1   .We regret for the inconvenience caused.",,,,,,,,,,,NA
No,,2.02404E+12,,T,H,0,Security,Others ,NR,MB,RPF,Closed,01-04-2024 00:18,01-04-2024 00:42,00:24,PASSENGER COMPLAINTS THAT IN GENERAL COACH PASSENGER SLEEPING ,शिकायतकर्ता आकाश ने बताया कि मैं आगे की तरफ जनरल कोच में परिवार के साथ यात्रा कर रहा हूं।कोच में महिलाओं को बैठने नहीं दिया जा रहा है जबकि सीट पर काफी जगह है।शिकायत के समाधान के लिए आरपीएफ पोस्ट मुरादाबाद को सूचित कर दिया गया है।जिनके द्वारा गाड़ी को अटेंड कर आपकी मदद की जाएगी। thanks for using Rail madad.,13009,ER,HWH,,1,,,,,,HWH YNRK DOON EXP [MAIL EXPRESS]
No,,2.02404E+12,01-04-2024 00:15,T,W,0,Bed Roll,Non Availability,NR,UMB,CNW,Closed,01-04-2024 00:18,01-04-2024 00:45,00:27,"Bed roll not available, attended not here",Attended and talked to the passenger name Apoorv,12217,NR,UMB,,,3A,71,,NZM,204523,KCVL SUF [SUPERFAST]
SLA 1,Satisfactory,2.02404E+12,01-04-2024 00:00,T,M,0,Punctuality,Late Running,NF,KIR,CHG,Closed,01-04-2024 00:18,01-04-2024 02:50,02:32,Train 15945 reached KIR before time 45 minutes but reaching BOE 45 minutes ,DEAR SIR THE SAID TRAIN DETAINED IN KATIHAR DIVISION FOR PATH CONGESTION OCCURED DUE TO LOCO PROBLEM OF GOODS TRAIN.INCONVENIENCE CAUSED IS DEEPLY REGRETTED.,15945,NF,TSK,,1,,,,,,LTT-DBRG EXPRESS [MAIL EXPRESS]
SLA 1,,2.02404E+12,,T,H,0,Medical Assistance,Medical Assistance,CR,BSL,CML,Closed,01-04-2024 00:18,01-04-2024 01:18,01:00,The customer requires medical assistance  as they are facing health issues pnr- 4717298679 Train No :- 11402 Coach No :- s4 23  Customer mobile no:- 9320439006,"Your request for medical assistance is noted and the Doctor will examine you at Nasik Road station, please pay the doctor's fee accordingly.",11402,CR,CSTM,,1,,,,,,ADB-CSMT MUMBAI EXP [MAIL EXPRESS]
No,,2.02404E+12,01-04-2024 00:14,T,W,0,Bed Roll,Non Availability,NR,UMB,CNW,Closed,01-04-2024 00:18,01-04-2024 00:45,00:27,"Bedding not available, attended is not here",Attended and talked to the passenger name Apoorv,12217,NR,UMB,,,3A,71,,NZM,204523,KCVL SUF [SUPERFAST]
SLA 1,,2.02404E+12,,T,H,0,Medical Assistance,Medical Assistance,CR,BSL,CML,Closed,01-04-2024 00:18,01-04-2024 01:18,01:00,The customer requires medical assistance  as they are facing health issues pnr- 4717298679 Train No :- 11402 Coach No :- s4 23  Customer mobile no:- 9320439006,"Your request for medical assistance is noted and the Doctor will examine you at Nasik Road station, please pay the doctor's fee accordingly.",11402,CR,CSTM,,1,,,,,,ADB-CSMT MUMBAI EXP [MAIL EXPRESS]
No,,2.02404E+12,,T,H,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,SC,GTL,CML,Closed,01-04-2024 00:18,01-04-2024 01:13,00:55,Customer complained that There is an unauthorized person in the SLR Coach  ,"sir, your previous complaint will be closed, as railmadad reference no:- 2024033110119 are both same. advised onboard tte to attend the said coach.",12794,SC,GTL,,1,SL,33,,GTL,195239,NZB-TPTY RAYALSEEMA EXP [SUPERFAST]
No,,2.02404E+12,01-04-2024 00:11,T,W,0,Punctuality,NTES APP,SC,GTL,CHG,Closed,01-04-2024 00:18,01-04-2024 00:45,00:27,I have connection journey from GTL via Rajdhani but train unnecessary detained at GTLW station out of course stoppage kindly take this train At GTL station as soon as possible ,"Sir the inconvenience caused is deeply regretted .the said train stopped at GTLB due to occupied line at GTL ,16591 EXP arrived at 00:37 hrs and ready to dispatch.",16591,SW,UBL,,,2A,18,,GTL,231543,UBL-MYS HAMPI EXPRESS [MAIL EXPRESS]
SLA 1,,2.02404E+12,01-04-2024 00:00,T,M,0,Punctuality,Late Running,NF,KIR,CHG,Closed,01-04-2024 00:18,01-04-2024 02:50,02:32,Train 15945 reached KIR before time 45 minutes but reaching BOE 45 minutes ,DEAR SIR THE SAID TRAIN DETAINED IN KATIHAR DIVISION FOR PATH CONGESTION OCCURED DUE TO LOCO PROBLEM OF GOODS TRAIN.INCONVENIENCE CAUSED IS DEEPLY REGRETTED.,15945,NF,TSK,,1,,,,,,LTT-DBRG EXPRESS [MAIL EXPRESS]
No,,2.02404E+12,01-04-2024 00:11,T,W,0,Bed Roll,Non Availability,NR,UMB,CNW,Closed,01-04-2024 00:18,01-04-2024 00:45,00:27,"Bed roll not available, also attended not here",Attended and talked to the passenger name Apoorv,12217,NR,UMB,,,3A,71,,NZM,204523,KCVL SUF [SUPERFAST]
No,,2.02404E+12,,T,H,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,EC,MGS,CML,Closed,01-04-2024 00:18,01-04-2024 01:05,00:47,Customer complained that There is general coach full crowd so please check and help  ,"Dear Sir, Thanks for bringing the issue to our notice. As stated by you the issue is resolved by RPF post JHD. The matter is being closed as stated by you. Railway administration is trying to provide better services as possible. Thank you for your co-operation and patience. East Central Railway DDU Division is always ready to serve you. We are regretted for the inconvenience caused to you. Your feedback on our efforts is highly appreciated. Thanks for registering with us.",14223,NR,LKO,,3,,,,,,BUDH PURNIMA EXP [MAIL EXPRESS]
No,,2.02404E+12,01-04-2024 00:07,T,A,0,Punctuality,Late Running,SR,SA,CHG,Closed,01-04-2024 00:18,01-04-2024 00:30,00:12,I am traveling in the weekend Sunday from Erode junction to Chennai Central in train no .12672 which is always arrive @ late due to  Silchar express12515 parked for more time in erode junction .So i request you change timing of Silchar express .,"Sir, Sorry for the inconvenience. Your suggestion will be forwarded to higher authority. Thanking you.",12672,SR,MAS,,,SL,35,,ED,56239,MTP-MAS NILGIRI EXP [SUPERFAST]
SLA 1,,2.02404E+12,01-04-2024 00:05,T,W,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,SC,BZA,CML,Closed,01-04-2024 00:18,01-04-2024 05:41,05:22,"Dirty toilet ,single lady pls help, send lady RPF immediately for safety","Sir, on duty TTE and RPF staff attended at RAJAHMUNDRY and tried to clear unreserved passengers. Thank you.",12840,SE,KGP,,8,SL,58,,TEL,191188,MAS-HWH SUPERFAST MAIL  [SUPERFAST]
No,,2.02404E+12,01-04-2024 00:12,T,W,0,Bed Roll,Non Availability,NR,UMB,CNW,Closed,01-04-2024 00:18,01-04-2024 00:44,00:26,"No attendant, no bed rolls, worst facilities, zero coach cleanliness ",Attended and talked to the passenger Manu goyal,12217,NR,UMB,,,3A,2,,NZM,204523,KCVL SUF [SUPERFAST]
No,,2.02404E+12,,T,H,0,Security,Luggage Left Behind/Unclaimed/Suspected Articles,CR,BSL,RPF,Closed,01-04-2024 00:18,01-04-2024 01:20,01:02,About luggage left coach num B6  seat num 9 in train complaint,"Sir, matter noted and informed to RPF NK ASI R N Singh and HC Mahale for necessary action, train will be shortly attend at next station, you may also contact us on 9503011777 for further help, thanks for using rail madad.",18029,SE,KGP,,4,,,,,,LTT SHM EXP [MAIL EXPRESS]
SLA 1,,2.02404E+12,,T,H,0,Medical Assistance,Medical Assistance,CR,BSL,CML,Closed,01-04-2024 00:18,01-04-2024 01:19,01:01,The customer requires medical assistance  as they are facing health issues pnr- 4717298679 Train No :- 11402 Coach No :- s4 23  Customer mobile no:- 9320439006,"Your request for medical assistance is noted and the Doctor will examine you at Nasik Road station, please pay the doctor's fee accordingly.",11402,CR,CSTM,,1,,,,,,ADB-CSMT MUMBAI EXP [MAIL EXPRESS]
SLA 1,Unsatisfactory,2.02404E+12,31-03-2024 23:58,S,W,0,Security,Others ,NC,JHS,CML,Closed,01-04-2024 00:18,01-04-2024 02:14,01:56,In my coach there is lot of traffic there is no maintenance coach properly by India railway system 3 times kinner comes at 11 pm once they comes . Is there no any incharge in train so check every  one ticket once ?  We are feeling like gernal so please check once ,MATTER NOTIFIED TO CONCERNED OFFICIALS TO ATTEND THE COACH WITH RPF STAFF.,MRA,,,,3,,,Please check rpf staff  not came inner side . And there is three thief also in are boogi no action,,,NA
No,Excellent,2.02404E+12,01-04-2024 00:09,T,A,0,Coach - Cleanliness,Coach Interior,CR,CSTM,CNW,Closed,01-04-2024 00:18,01-04-2024 00:32,00:14,One of the passenger has vommited in the compartment ,"Dear Sir Madam, Cleaning is done by onboard staff. Please share your valuable  feedback to help us to provide better service. ",11036,CR,CSTM,,,SL,47,THANKS FOR THE Quick service provided which cleaned the committing done by the pasanger.,PUNE,144624,MYS-DR SHARAVATI EXP [MAIL EXPRESS]
